model,n_recursions,fid,is,is_deviation
CELEBA_GROUPNORM_epoch_1000.pt,1,52.62797546386719,2.195932149887085,0.02280721627175808
CELEBA_GROUPNORM_epoch_1000.pt,2,54.82891845703125,2.002399206161499,0.022510763257741928
CELEBA_IGNITE_EXPONENTIAL_epoch_1000.pt,1,50.60958480834961,2.3259682655334473,0.048697248101234436
CELEBA_IGNITE_EXPONENTIAL_epoch_1000.pt,2,51.42415237426758,2.176755905151367,0.03312365338206291
CELEBA_IGNITE_LINEAR_epoch_1000.pt,1,58.198829650878906,2.2552881240844727,0.02491137944161892
CELEBA_IGNITE_LINEAR_epoch_1000.pt,2,61.020347595214844,2.1329853534698486,0.02388690412044525
CELEBA_FINAL_FOURIER_epoch_1000.pt,1,38.10630416870117,2.573579788208008,0.031009262427687645
CELEBA_FINAL_FOURIER_epoch_1000.pt,2,33.982967376708984,2.4444985389709473,0.03825454041361809
CELEBA_UNET_epoch_1000.pt,1,78.56616973876953,2.073903799057007,0.022652452811598778
CELEBA_UNET_epoch_1000.pt,2,78.37773132324219,2.071699619293213,0.02540045976638794
CELEBA_GROUPNORM_epoch_1000.pt,3,64.31425476074219,2.0707859992980957,0.026213213801383972
CELEBA_IGNITE_EXPONENTIAL_epoch_1000.pt,3,60.07197952270508,2.2338972091674805,0.02224007435142994
CELEBA_IGNITE_LINEAR_epoch_1000.pt,3,73.07582092285156,2.2576277256011963,0.04150743782520294
CELEBA_FINAL_FOURIER_epoch_1000.pt,3,44.73977279663086,2.5028767585754395,0.04814798757433891
CELEBA_UNET_epoch_1000.pt,3,78.07869720458984,2.0717339515686035,0.020134316757321358
